controllerid,room_id,room_name,timestamp,unit,setpoint
AA1610M1139700010,87,House 1,2019-01-01 17:11:35+00:00,Percent,71.0
AA1610M1139700010,87,House 1,2019-02-15 07:34:18+00:00,Percent,76.0
AA1610M1139700010,87,House 1,2019-02-15 07:34:18+00:00,Percent,76.0
AA1610M1139700010,274,House 2,2019-02-15 07:34:25+00:00,Percent,76.0
AA1610M1139700010,274,House 2,2019-02-15 07:34:25+00:00,Percent,76.0
AA1610M1139700010,340,House 3,2019-02-15 07:34:30+00:00,Percent,76.0
AA1610M1139700010,340,House 3,2019-02-15 07:34:30+00:00,Percent,76.0
AA1610M1139700010,392,House 4,2019-02-15 07:34:34+00:00,Percent,76.0
AA1610M1139700010,392,House 4,2019-02-15 07:34:34+00:00,Percent,76.0
AA1610M1139700010,392,House 4,2019-02-17 15:51:24+00:00,Percent,70.0
AA1610M1139700010,392,House 4,2019-02-17 15:51:24+00:00,Percent,70.0
AA1610M1139700010,340,House 3,2019-02-17 15:51:31+00:00,Percent,70.0
AA1610M1139700010,340,House 3,2019-02-17 15:51:31+00:00,Percent,70.0
AA1610M1139700010,274,House 2,2019-02-17 15:51:36+00:00,Percent,70.0
AA1610M1139700010,274,House 2,2019-02-17 15:51:36+00:00,Percent,70.0
AA1610M1139700010,87,House 1,2019-02-17 15:51:40+00:00,Percent,70.0
AA1610M1139700010,87,House 1,2019-02-17 15:51:40+00:00,Percent,70.0
AA1610M1139700010,87,House 1,2019-02-18 12:32:51+00:00,Percent,65.0
AA1610M1139700010,87,House 1,2019-02-18 12:32:51+00:00,Percent,65.0
AA1610M1139700010,274,House 2,2019-02-18 12:33:01+00:00,Percent,65.0
AA1610M1139700010,274,House 2,2019-02-18 12:33:01+00:00,Percent,65.0
AA1610M1139700010,340,House 3,2019-02-18 12:33:17+00:00,Percent,65.0
AA1610M1139700010,340,House 3,2019-02-18 12:33:17+00:00,Percent,65.0
AA1610M1139700010,392,House 4,2019-02-18 12:33:33+00:00,Percent,65.0
AA1610M1139700010,392,House 4,2019-02-18 12:33:33+00:00,Percent,65.0
AA1610M1139700010,87,House 1,2019-02-22 21:58:04+00:00,Percent,60.0
AA1610M1139700010,87,House 1,2019-02-22 21:58:04+00:00,Percent,60.0
AA1610M1139700010,274,House 2,2019-02-22 21:58:12+00:00,Percent,60.0
AA1610M1139700010,274,House 2,2019-02-22 21:58:12+00:00,Percent,60.0
AA1610M1139700010,340,House 3,2019-02-22 21:58:20+00:00,Percent,60.0
AA1610M1139700010,340,House 3,2019-02-22 21:58:20+00:00,Percent,60.0
AA1610M1139700010,392,House 4,2019-02-22 21:58:28+00:00,Percent,60.0
AA1610M1139700010,392,House 4,2019-02-22 21:58:28+00:00,Percent,60.0
AA1610M1139700010,274,House 2,2019-03-05 02:01:44+00:00,Percent,65.0
AA1610M1139700010,274,House 2,2019-03-05 02:01:44+00:00,Percent,65.0
AA1610M1139700010,87,House 1,2019-03-05 02:02:36+00:00,Percent,65.0
AA1610M1139700010,87,House 1,2019-03-05 02:02:36+00:00,Percent,65.0
AA1610M1139700010,340,House 3,2019-03-05 02:02:55+00:00,Percent,65.0
AA1610M1139700010,340,House 3,2019-03-05 02:02:55+00:00,Percent,65.0
AA1610M1139700010,392,House 4,2019-03-05 02:03:06+00:00,Percent,65.0
AA1610M1139700010,392,House 4,2019-03-05 02:03:06+00:00,Percent,65.0
AA1610M1139700010,87,House 1,2019-03-18 03:01:15+00:00,Percent,60.0
AA1610M1139700010,274,House 2,2019-03-18 03:01:27+00:00,Percent,60.0
AA1610M1139700010,340,House 3,2019-03-18 03:01:37+00:00,Percent,60.0
AA1610M1139700010,392,House 4,2019-03-18 03:01:55+00:00,Percent,60.0
AA1610M1139700010,87,House 1,2019-05-05 22:13:40+00:00,Percent,65.0
AA1610M1139700010,274,House 2,2019-05-05 22:13:49+00:00,Percent,65.0
AA1610M1139700010,340,House 3,2019-05-05 22:13:53+00:00,Percent,65.0
AA1610M1139700010,392,House 4,2019-05-05 22:13:57+00:00,Percent,65.0
AA1610M1139700010,87,House 1,2019-07-18 16:34:05+00:00,Percent,75.0
AA1610M1139700010,274,House 2,2019-07-18 16:34:09+00:00,Percent,75.0
AA1610M1139700010,340,House 3,2019-07-18 16:34:13+00:00,Percent,75.0
AA1610M1139700010,392,House 4,2019-07-18 16:34:16+00:00,Percent,75.0
AA1610M1139700010,87,House 1,2019-08-05 02:14:26+00:00,Percent,60.0
AA1610M1139700010,274,House 2,2019-08-05 02:14:52+00:00,Percent,60.0
AA1610M1139700010,340,House 3,2019-08-05 02:15:04+00:00,Percent,60.0
AA1610M1139700010,392,House 4,2019-08-05 02:15:18+00:00,Percent,60.0
AA1610M1139700010,87,House 1,2019-10-12 16:20:10+00:00,Percent,70.0
AA1610M1139700010,274,House 2,2019-10-12 16:20:20+00:00,Percent,70.0
AA1610M1139700010,340,House 3,2019-10-12 16:20:27+00:00,Percent,70.0
AA1610M1139700010,392,House 4,2019-10-12 16:20:33+00:00,Percent,70.0
AA1610M1139700010,87,House 1,2019-10-18 01:02:41+00:00,Percent,68.0
AA1610M1139700010,274,House 2,2019-10-18 01:02:47+00:00,Percent,68.0
AA1610M1139700010,340,House 3,2019-10-18 01:02:53+00:00,Percent,68.0
AA1610M1139700010,392,House 4,2019-10-18 01:03:00+00:00,Percent,68.0
AA1610M1139700010,87,House 1,2019-10-22 14:41:09+00:00,Percent,65.0
AA1610M1139700010,274,House 2,2019-10-22 14:41:14+00:00,Percent,65.0
AA1610M1139700010,340,House 3,2019-10-22 14:41:19+00:00,Percent,65.0
AA1610M1139700010,392,House 4,2019-10-22 14:41:24+00:00,Percent,65.0
AA1610M1139700010,87,House 1,2019-11-16 16:49:30+00:00,Percent,60.0
AA1610M1139700010,274,House 2,2019-11-16 16:49:37+00:00,Percent,60.0
AA1610M1139700010,340,House 3,2019-11-16 16:49:42+00:00,Percent,60.0
AA1610M1139700010,392,House 4,2019-11-16 16:49:48+00:00,Percent,60.0
AA1610M1139700010,87,House 1,2019-12-31 00:27:11+00:00,Percent,65.0
AA1610M1139700010,274,House 2,2019-12-31 00:27:17+00:00,Percent,65.0
AA1610M1139700010,340,House 3,2019-12-31 00:27:22+00:00,Percent,65.0
AA1610M1139700010,392,House 4,2019-12-31 00:27:27+00:00,Percent,65.0
AA1610M1139700010,87,House 1,2019-12-31 23:45:55+00:00,Percent,60.0
AA1610M1139700010,274,House 2,2019-12-31 23:46:00+00:00,Percent,60.0
AA1610M1139700010,340,House 3,2019-12-31 23:46:05+00:00,Percent,60.0
AA1610M1139700010,392,House 4,2019-12-31 23:46:12+00:00,Percent,60.0
